time_s,phase_deg,amp_v,freq_hz
4.2200,-1.041,1.000570,99609.4
4.2300,-1.029,1.003024,99609.4
4.2400,-1.031,0.995087,99609.4
4.2500,-1.051,0.996446,99609.4
4.2600,-1.062,0.990736,99609.4
4.2700,-1.048,0.991069,99609.4
4.2800,-1.049,0.993904,99609.4
4.2900,-1.051,0.999141,99609.4
4.3000,-1.043,1.002399,99609.4
4.3100,-1.042,1.002609,99609.4
4.3200,-1.042,0.998422,99609.4
4.3300,-1.050,0.997208,99609.4
4.3400,-1.048,0.999171,99609.4
4.3500,-1.039,1.003531,99609.4
4.3600,-1.036,1.001909,99609.4
4.3700,-1.015,1.002561,99609.4
4.3800,-1.039,1.002374,99609.4
4.3900,-1.044,1.000025,99609.4
4.4000,-1.048,0.994166,99609.4
4.4100,-1.036,1.001490,99609.4
4.4200,-1.036,1.002392,99609.4
4.4300,-1.026,1.003994,99609.4
4.4400,-1.056,0.995837,99609.4
4.4500,-1.033,0.997232,99609.4
4.4600,-1.037,1.002566,99609.4
4.4700,-1.011,1.002928,99609.4
4.4800,-1.039,1.001537,99609.4
4.4900,-1.024,1.004100,99609.4
4.5000,-1.036,1.000936,99609.4
4.5100,-1.037,0.997277,99609.4
4.5200,-1.055,0.992010,99609.4
4.5300,-1.029,0.997874,99609.4
4.5400,-1.054,0.995153,99609.4
4.5500,-1.029,0.996051,99609.4
4.5600,-1.036,0.998618,99609.4
4.5700,-1.059,0.994274,99609.4
4.5800,-1.055,0.995253,99609.4
4.5900,-1.044,0.997690,99609.4
4.6000,-1.035,1.002571,99609.4
4.6100,-1.031,1.002902,99609.4
4.6200,-1.047,0.997594,99609.4
4.6300,-1.037,0.999285,99609.4
4.6400,-1.029,1.003156,99609.4
4.6500,-1.033,0.999287,99609.4
4.6600,-1.044,1.003161,99609.4
4.6700,-1.033,1.003855,99609.4
4.6800,-1.042,1.000175,99609.4
4.6900,-1.050,0.997133,99609.4
4.7000,-1.047,0.998841,99609.4
4.7100,-1.034,1.002964,99609.4
4.7200,-1.031,1.003721,99609.4
4.7300,-1.029,1.003006,99609.4
4.7400,-1.038,1.003869,99609.4
4.7500,-1.038,1.000447,99609.4
4.7600,-1.029,1.000997,99609.4
4.7700,-1.027,1.003367,99609.4
4.7800,-1.007,1.003757,99609.4
4.7900,-1.030,1.003663,99609.4
4.8000,-1.007,1.000426,99609.4
4.8100,-1.028,1.003375,99609.4
4.8200,-1.018,1.003386,99609.4
4.8300,-1.017,1.003909,99609.4
4.8400,-1.029,1.004001,99609.4
4.8500,-1.026,1.003326,99609.4
4.8600,-1.029,1.002065,99609.4
4.8700,-1.013,1.003982,99609.4
4.8800,-1.030,1.004075,99609.4
4.8900,-1.019,1.003680,99609.4
4.9000,-1.033,1.004105,99609.4
4.9100,-1.021,1.004056,99609.4
4.9200,-1.025,1.004171,99609.4
4.9300,-1.029,1.002261,99609.4
4.9400,-1.009,1.002337,99609.4
4.9500,-1.011,1.001897,99609.4
4.9600,-1.009,0.999303,99609.4
4.9700,-1.027,1.002879,99609.4
4.9800,-1.033,1.001550,99609.4
4.9900,-1.014,1.001988,99609.4
5.0000,-1.018,1.002339,99609.4
5.0100,-1.028,1.004073,99609.4
5.0200,-1.024,1.003140,99609.4
5.0300,-1.020,1.003588,99609.4
5.0400,-1.030,1.001662,99609.4
5.0500,-1.020,1.004031,99609.4
5.0600,-1.020,1.003615,99609.4
5.0700,-1.022,1.003945,99609.4
5.0800,-1.040,1.002339,99609.4
5.0900,-1.027,1.001885,99609.4
5.1000,-1.025,1.003446,99609.4
5.1100,-1.028,1.002482,99609.4
5.1200,-1.007,0.991813,99609.4
5.1300,-0.999,0.992108,99609.4
5.1400,-0.993,0.990561,99609.4
5.1500,-1.010,1.002458,99609.4
5.1600,-1.003,0.996380,99609.4
5.1700,-1.019,1.003831,99609.4
5.1800,-1.029,1.003986,99609.4
5.1900,-1.023,1.003870,99609.4
5.2000,-1.021,1.003860,99609.4
5.2100,-1.021,1.002028,99609.4
5.2200,-1.025,1.000097,99609.4
5.2300,-1.024,1.003151,99609.4
5.2400,-1.031,1.003815,99609.4
5.2500,-1.019,1.003016,99609.4
5.2600,-1.021,1.003972,99609.4
5.2700,-1.034,1.003833,99609.4
5.2800,-1.018,1.001339,99609.4
5.2900,-1.020,1.003753,99609.4
5.3000,-1.035,1.003995,99609.4
5.3100,-1.033,1.003557,99609.4
5.3200,-1.014,1.001961,99609.4
5.3300,-1.030,1.000287,99609.4
5.3400,-1.017,1.004071,99609.4
5.3500,-1.028,1.003860,99609.4
5.3600,-1.031,1.003702,99609.4
5.3700,-1.029,1.003458,99609.4
5.3800,-1.033,1.003854,99609.4
5.3900,-1.018,1.003061,99609.4
5.4000,-1.028,1.003489,99609.4
5.4100,-1.022,1.003991,99609.4
5.4200,-1.029,1.000612,99609.4
5.4300,-1.023,1.001614,99609.4
5.4400,-1.031,1.003666,99609.4
5.4500,-1.038,0.999519,99609.4
5.4600,-1.028,1.003922,99609.4
5.4700,-1.017,0.999398,99609.4
5.4800,-1.025,0.993723,99609.4
5.4900,-1.023,0.992791,99609.4
5.5000,-0.992,0.993870,99609.4
5.5100,-1.034,0.998844,99609.4
5.5200,-1.013,0.999597,99609.4
5.5300,-1.026,1.000140,99609.4
5.5400,-1.009,0.998690,99609.4
5.5500,-1.020,1.001868,99609.4
5.5600,-1.020,0.999241,99609.4
5.5700,-1.018,1.003941,99609.4
5.5800,-1.029,1.002015,99609.4
5.5900,-1.010,1.002565,99609.4
5.6000,-1.004,0.999656,99609.4
5.6100,-1.027,0.996812,99609.4
5.6200,-1.012,0.997879,99609.4
5.6300,-0.993,0.995128,99609.4
5.6400,-0.988,0.990235,99609.4
5.6500,-1.009,0.996200,99609.4
5.6600,-1.034,1.002003,99609.4
5.6700,-0.998,0.996220,99609.4
5.6800,-1.005,0.994977,99609.4
5.6900,-1.016,0.999285,99609.4
5.7000,-0.999,0.990738,99609.4
5.7100,-1.011,0.995037,99609.4
5.7200,-1.054,1.000466,99609.4
5.7300,-1.001,0.997710,99609.4
5.7400,-1.029,0.998465,99609.4
5.7500,-1.013,0.996492,99609.4
5.7600,-1.027,1.002995,99609.4
5.7700,-1.032,1.003756,99609.4
5.7800,-1.030,1.003862,99609.4
5.7900,-1.025,1.003865,99609.4
5.8000,-1.042,1.003008,99609.4
5.8100,-1.026,1.003639,99609.4
5.8200,-1.026,1.003970,99609.4
5.8300,-1.052,0.995114,99609.4
5.8400,-1.039,0.998838,99609.4
5.8500,-1.039,0.999423,99609.4
5.8600,-1.021,1.001703,99609.4
5.8700,-1.024,1.002736,99609.4
5.8800,-1.015,1.001150,99609.4
5.8900,-1.038,1.001869,99609.4
5.9000,-1.032,1.003131,99609.4
5.9100,-1.042,1.003080,99609.4
5.9200,-1.033,1.003355,99609.4
5.9300,-1.038,1.003433,99609.4
5.9400,-1.034,1.003059,99609.4
5.9500,-1.052,1.003612,99609.4
5.9600,-1.023,1.000924,99609.4
5.9700,-1.037,1.003412,99609.4
5.9800,-1.015,0.995415,99609.4
5.9900,-1.002,0.997882,99609.4
6.0000,-1.014,1.002285,99609.4
6.0100,-1.022,1.003882,99609.4
6.0200,-1.013,1.000377,99609.4
6.0300,-1.032,0.996193,99609.4
6.0400,-0.986,0.995003,99609.4
6.0500,-1.004,1.000679,99609.4
6.0600,-1.002,0.999673,99609.4
6.0700,-1.032,0.998780,99609.4
6.0800,-1.017,0.998561,99609.4
6.0900,-0.985,0.996415,99609.4
6.1000,-1.024,1.003605,99609.4
6.1100,-1.028,1.003667,99609.4
6.1200,-1.030,1.003721,99609.4
6.1300,-1.021,1.003671,99609.4
6.1400,-1.018,0.999721,99609.4
6.1500,-1.023,1.003799,99609.4
6.1600,-1.030,1.003726,99609.4
6.1700,-1.030,1.003381,99609.4
6.1800,-1.027,1.003474,99609.4
6.1900,-1.040,0.999348,99609.4
6.2000,-1.048,0.993757,99609.4
6.2100,-1.057,0.992913,99609.4
6.2200,-1.053,0.994866,99609.4
6.2300,-1.057,0.993064,99609.4
6.2400,-1.040,0.999808,99609.4
6.2500,-1.038,1.002417,99609.4
6.2600,-1.009,1.001370,99609.4
6.2700,-1.027,1.001953,99609.4
6.2800,-1.026,1.002467,99609.4
6.2900,-1.011,1.001545,99609.4
6.3000,-1.017,1.002975,99609.4
6.3100,-1.028,1.003811,99609.4
6.3200,-1.011,1.001097,99609.4
6.3300,-1.009,0.998728,99609.4
6.3400,-1.024,1.002553,99609.4
6.3500,-1.007,0.996363,99609.4
6.3600,-1.032,1.003666,99609.4
6.3700,-1.010,0.999122,99609.4
6.3800,-1.003,0.995375,99609.4
6.3900,-0.985,0.997451,99609.4
6.4000,-1.003,0.997290,99609.4
6.4100,-1.020,1.003102,99609.4
6.4200,-1.013,1.002085,99609.4
6.4300,-1.029,1.001852,99609.4
6.4400,-1.016,1.001785,99609.4
6.4500,-1.029,1.003612,99609.4
6.4600,-1.035,1.003873,99609.4
6.4700,-1.033,1.003838,99609.4
6.4800,-1.029,1.002592,99609.4
6.4900,-1.032,1.001862,99609.4
6.5000,-1.015,1.003195,99609.4
6.5100,-1.024,1.003872,99609.4
6.5200,-1.014,1.003668,99609.4
6.5300,-1.022,0.995192,99609.4
6.5400,-1.037,1.001012,99609.4
6.5500,-1.022,1.001527,99609.4
6.5600,-1.048,0.997445,99609.4
6.5700,-1.044,1.000342,99609.4
6.5800,-1.036,1.003718,99609.4
6.5900,-1.060,0.994912,99609.4
6.6000,-1.034,1.000732,99609.4
6.6100,-1.039,1.000582,99609.4
6.6200,-1.034,1.002356,99609.4
6.6300,-1.041,0.998274,99609.4
6.6400,-1.041,1.000643,99609.4
6.6500,-1.047,0.993793,99609.4
6.6600,-1.051,0.993111,99609.4
6.6700,-1.041,0.996617,99609.4
6.6800,-1.043,0.995575,99609.4
6.6900,-1.029,1.001456,99609.4
6.7000,-1.041,0.996744,99609.4
6.7100,-1.024,1.004115,99609.4
6.7200,-1.015,1.000216,99609.4
6.7300,-1.031,1.003953,99609.4
6.7400,-1.035,1.003625,99609.4
6.7500,-1.027,1.000542,99609.4
6.7600,-1.041,0.999096,99609.4
6.7700,-1.035,0.999269,99609.4
6.7800,-1.035,1.000547,99609.4
6.7900,-1.037,1.002500,99609.4
6.8000,-1.052,0.998911,99609.4
6.8100,-1.024,1.002118,99609.4
6.8200,-1.047,1.000828,99609.4
6.8300,-1.035,1.001866,99609.4
6.8400,-1.044,1.003505,99609.4
6.8500,-1.053,0.995448,99609.4
6.8600,-1.025,1.001262,99609.4
